Start Date,End Date,Approving,Disapproving,Unsure/NoData
01/19/2009,01/25/2009,67,13,20
01/26/2009,02/01/2009,66,18,16
02/02/2009,02/08/2009,65,21,14
02/09/2009,02/15/2009,64,22,14
02/16/2009,02/22/2009,62,25,13
02/23/2009,03/01/2009,64,23,13
03/02/2009,03/08/2009,62,27,11
03/09/2009,03/15/2009,62,28,10
03/16/2009,03/22/2009,63,26,11
03/23/2009,03/29/2009,61,29,10
03/30/2009,04/05/2009,62,28,10
04/06/2009,04/12/2009,61,28,11
04/13/2009,04/19/2009,62,29,9
04/20/2009,04/26/2009,65,29,6
04/27/2009,05/03/2009,65,29,6
05/04/2009,05/10/2009,66,27,7
05/11/2009,05/17/2009,64,29,7
05/18/2009,05/24/2009,64,28,8
05/25/2009,05/31/2009,63,30,7
06/01/2009,06/07/2009,62,31,7
06/08/2009,06/14/2009,61,31,8
06/15/2009,06/21/2009,59,34,7
06/22/2009,06/28/2009,60,33,7
06/29/2009,07/05/2009,60,32,8
07/06/2009,07/12/2009,58,34,8
07/13/2009,07/19/2009,59,33,8
07/20/2009,07/26/2009,56,38,6
07/27/2009,08/02/2009,54,39,7
08/03/2009,08/09/2009,56,37,7
08/10/2009,08/16/2009,54,40,6
08/17/2009,08/23/2009,52,41,7
08/24/2009,08/30/2009,50,43,7
08/31/2009,09/06/2009,53,40,7
09/07/2009,09/13/2009,52,41,7
09/14/2009,09/20/2009,52,41,7
09/21/2009,09/27/2009,51,41,8
09/28/2009,10/04/2009,52,40,8
10/05/2009,10/11/2009,54,38,8
10/12/2009,10/18/2009,52,41,7
10/19/2009,10/25/2009,53,39,8
10/26/2009,11/01/2009,53,41,6
11/02/2009,11/08/2009,52,42,6
11/09/2009,11/15/2009,53,39,8
11/16/2009,11/22/2009,49,44,7
11/23/2009,11/29/2009,50,42,8
11/30/2009,12/06/2009,50,44,6
12/07/2009,12/13/2009,49,42,9
12/14/2009,12/20/2009,50,43,7
12/21/2009,12/27/2009,51,43,6
12/28/2009,01/03/2010,51,43,6
01/04/2010,01/10/2010,51,43,6
01/11/2010,01/17/2010,50,43,7
01/18/2010,01/24/2010,49,46,5
01/25/2010,01/31/2010,48,45,7
02/01/2010,02/07/2010,50,43,7
02/08/2010,02/14/2010,51,42,7
02/15/2010,02/21/2010,49,43,8
02/22/2010,02/28/2010,50,43,7
03/01/2010,03/07/2010,49,44,7
03/08/2010,03/14/2010,48,45,7
03/15/2010,03/21/2010,48,45,7
03/22/2010,03/28/2010,49,44,7
03/29/2010,04/04/2010,49,44,7
04/05/2010,04/11/2010,47,46,7
04/12/2010,04/18/2010,48,45,7
04/19/2010,04/25/2010,50,43,7
04/26/2010,05/02/2010,48,45,7
05/03/2010,05/09/2010,50,43,7
05/10/2010,05/16/2010,49,43,8
05/17/2010,05/23/2010,48,45,7
05/24/2010,05/30/2010,46,46,8
05/31/2010,06/06/2010,47,45,8
06/07/2010,06/13/2010,46,46,8
06/14/2010,06/20/2010,47,45,8
06/21/2010,06/27/2010,45,46,9
06/28/2010,07/04/2010,46,45,9
07/05/2010,07/11/2010,46,47,7
07/12/2010,07/18/2010,46,46,8
07/19/2010,07/25/2010,45,47,8
07/26/2010,08/01/2010,45,47,8
08/02/2010,08/08/2010,45,48,7
08/09/2010,08/15/2010,44,48,8
08/16/2010,08/22/2010,43,50,7
08/23/2010,08/29/2010,43,49,8
08/30/2010,09/05/2010,45,47,8
09/06/2010,09/12/2010,46,46,8
09/13/2010,09/19/2010,46,47,7
09/20/2010,09/26/2010,44,48,8
09/27/2010,10/03/2010,46,47,7
10/04/2010,10/10/2010,46,48,6
10/11/2010,10/17/2010,45,47,8
10/18/2010,10/24/2010,44,48,8
10/25/2010,10/31/2010,45,48,7
11/01/2010,11/07/2010,45,47,8
11/08/2010,11/14/2010,44,48,8
11/15/2010,11/21/2010,46,46,8
11/22/2010,11/28/2010,45,47,8
11/29/2010,12/05/2010,46,46,8
12/06/2010,12/12/2010,45,48,7
12/13/2010,12/19/2010,46,46,8
12/20/2010,12/26/2010,47,46,7
12/27/2010,01/02/2011,48,44,8
01/03/2011,01/09/2011,48,45,7
01/10/2011,01/16/2011,49,42,9
01/17/2011,01/23/2011,50,42,8
01/24/2011,01/30/2011,50,42,8
01/31/2011,02/06/2011,47,45,8
02/07/2011,02/13/2011,48,43,9
02/14/2011,02/20/2011,48,43,9
02/21/2011,02/27/2011,48,44,8
02/28/2011,03/06/2011,46,46,8
03/07/2011,03/13/2011,47,45,8
03/14/2011,03/20/2011,48,44,8
03/21/2011,03/27/2011,45,47,8
03/28/2011,04/03/2011,48,44,8
04/04/2011,04/10/2011,45,46,9
04/11/2011,04/17/2011,43,48,9
04/18/2011,04/24/2011,43,48,9
04/25/2011,05/01/2011,44,47,9
05/02/2011,05/08/2011,51,40,9
05/09/2011,05/15/2011,49,43,8
05/16/2011,05/22/2011,50,43,7
05/23/2011,05/29/2011,49,43,8
05/30/2011,06/05/2011,50,42,8
06/06/2011,06/12/2011,46,44,10
06/13/2011,06/19/2011,47,45,8
06/20/2011,06/26/2011,43,49,8
06/27/2011,07/03/2011,46,47,7
07/04/2011,07/10/2011,46,45,9
07/11/2011,07/17/2011,44,48,8
07/18/2011,07/24/2011,43,48,9
07/25/2011,07/31/2011,42,49,9
08/01/2011,08/07/2011,42,50,8
08/08/2011,08/14/2011,40,52,8
08/15/2011,08/21/2011,40,53,7
08/22/2011,08/28/2011,40,53,7
08/29/2011,09/04/2011,42,51,7
09/05/2011,09/11/2011,43,49,8
09/12/2011,09/18/2011,40,52,8
